Cell line	Data type	Sample	URL
K562	Pol2RawData	wgEncodeSydhTfbsK562Pol2RawDataRep1	http://hgdownload.cse.ucsc.edu/goldenpath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsK562Pol2RawDataRep1.fastq.gz 
K562	Pol2RawData	wgEncodeSydhTfbsK562Pol2RawDataRep2	http://hgdownload.cse.ucsc.edu/goldenpath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsK562Pol2RawDataRep2.fastq.gz 
K562	InputV2	wgEncodeSydhTfbsK562InputV2RawDataRep1	http://hgdownload.cse.ucsc.edu/goldenpath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsK562InputV2RawDataRep1.fastq.gz 
K562	InputV2	wgEncodeSydhTfbsK562InputV2RawDataRep2	http://hgdownload.cse.ucsc.edu/goldenpath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsK562InputV2RawDataRep2.fastq.gz 
K562	OpenChromDnase	wgEncodeOpenChromDnaseK562AlnRep1V2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseK562AlnRep1V2.bam 
K562	OpenChromDnase	wgEncodeOpenChromDnaseK562AlnRep1V2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseK562AlnRep1V2.bam.bai 
K562	OpenChromDnase	wgEncodeOpenChromDnaseK562AlnRep2V2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseK562AlnRep2V2.bam 
K562	OpenChromDnase	wgEncodeOpenChromDnaseK562AlnRep2V2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseK562AlnRep2V2.bam.bai 
K562	OpenChromDnase	wgEncodeOpenChromDnaseK562AlnRep3V2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseK562AlnRep3V2.bam 
K562	OpenChromDnase	wgEncodeOpenChromDnaseK562AlnRep3V2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseK562AlnRep3V2.bam.bai 
K562	Nsome	wgEncodeSydhNsomeK562AlnRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep1.bam
K562	Nsome	wgEncodeSydhNsomeK562AlnRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep1.bam.bai
K562	Nsome	wgEncodeSydhNsomeK562AlnRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep2.bam
K562	Nsome	wgEncodeSydhNsomeK562AlnRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep2.bam.bai
K562	Nsome	wgEncodeSydhNsomeK562AlnRep3	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep3.bam
K562	Nsome	wgEncodeSydhNsomeK562AlnRep3	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep3.bam.bai
K562	Nsome	wgEncodeSydhNsomeK562AlnRep4	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep4.bam
K562	Nsome	wgEncodeSydhNsomeK562AlnRep4	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep4.bam.bai
K562	Nsome	wgEncodeSydhNsomeK562AlnRep5	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep5.bam
K562	Nsome	wgEncodeSydhNsomeK562AlnRep5	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep5.bam.bai
